08/30/2016 02:05:39 PM n_total 10 n_fib 10, n_fob 0, n_fsc 0
08/30/2016 02:16:47 PM n_total 79762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:48 PM n_total 79890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:49 PM n_total 80018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:50 PM n_total 80146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:51 PM n_total 80274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:52 PM n_total 80402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:53 PM n_total 80530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:54 PM n_total 80658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:55 PM n_total 80786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:56 PM n_total 80914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:57 PM n_total 81042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:58 PM n_total 81170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:59 PM n_total 81298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:00 PM n_total 81426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:01 PM n_total 81554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:02 PM n_total 81682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:03 PM n_total 81810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:04 PM n_total 81938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:05 PM n_total 82066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:06 PM n_total 82194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:07 PM n_total 82322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:08 PM n_total 82450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:09 PM n_total 82578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:10 PM n_total 82706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:11 PM n_total 82834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:12 PM n_total 82962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:13 PM n_total 83090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:14 PM n_total 83218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:15 PM n_total 83346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:16 PM n_total 83474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:17 PM n_total 83602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:18 PM n_total 83730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:19 PM n_total 83858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:20 PM n_total 83986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:21 PM n_total 84114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:22 PM n_total 84242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:23 PM n_total 84370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:24 PM n_total 84498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:25 PM n_total 84626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:26 PM n_total 84754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:27 PM n_total 84882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:28 PM n_total 85010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:29 PM n_total 85138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:30 PM n_total 85266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:31 PM n_total 85394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:32 PM n_total 85522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:33 PM n_total 85650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:34 PM n_total 85778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:35 PM n_total 85906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:36 PM n_total 86034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:37 PM n_total 86162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:38 PM n_total 86290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:39 PM n_total 86418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:40 PM n_total 86546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:41 PM n_total 86674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:42 PM n_total 86802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:43 PM n_total 86930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:44 PM n_total 87058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:45 PM n_total 87186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:46 PM n_total 87314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:47 PM n_total 87442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:48 PM n_total 87570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:49 PM n_total 87698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:50 PM n_total 87826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:51 PM n_total 87954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:52 PM n_total 88082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:53 PM n_total 88210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:54 PM n_total 88338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:55 PM n_total 88466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:56 PM n_total 88594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:57 PM n_total 88722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:58 PM n_total 88850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:17:59 PM n_total 88978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:00 PM n_total 89106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:01 PM n_total 89234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:02 PM n_total 89362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:03 PM n_total 89490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:04 PM n_total 89618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:05 PM n_total 89746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:06 PM n_total 89874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:07 PM n_total 90002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:08 PM n_total 90130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:09 PM n_total 90258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:10 PM n_total 90386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:11 PM n_total 90514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:12 PM n_total 90642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:13 PM n_total 90770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:14 PM n_total 90898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:15 PM n_total 91026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:16 PM n_total 91154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:17 PM n_total 91282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:18 PM n_total 91410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:19 PM n_total 91538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:20 PM n_total 91666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:21 PM n_total 91794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:22 PM n_total 91922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:23 PM n_total 92050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:24 PM n_total 92178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:25 PM n_total 92306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:26 PM n_total 92434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:27 PM n_total 92562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:28 PM n_total 92690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:29 PM n_total 92818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:30 PM n_total 92946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:31 PM n_total 93074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:32 PM n_total 93202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:33 PM n_total 93330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:34 PM n_total 93458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:35 PM n_total 93586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:36 PM n_total 93714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:37 PM n_total 93842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:38 PM n_total 93970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:39 PM n_total 94098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:40 PM n_total 94226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:41 PM n_total 94354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:42 PM n_total 94482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:43 PM n_total 94610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:44 PM n_total 94738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:45 PM n_total 94866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:46 PM n_total 94994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:47 PM n_total 95122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:48 PM n_total 95250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:49 PM n_total 95378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:50 PM n_total 95506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:51 PM n_total 95634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:52 PM n_total 95762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:53 PM n_total 95890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:54 PM n_total 96018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:55 PM n_total 96146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:56 PM n_total 96274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:57 PM n_total 96402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:58 PM n_total 96530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:18:59 PM n_total 96658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:00 PM n_total 96786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:01 PM n_total 96914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:02 PM n_total 97042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:03 PM n_total 97170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:04 PM n_total 97298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:05 PM n_total 97426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:06 PM n_total 97554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:07 PM n_total 97682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:08 PM n_total 97810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:09 PM n_total 97938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:10 PM n_total 98066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:11 PM n_total 98194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:12 PM n_total 98322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:13 PM n_total 98450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:14 PM n_total 98578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:15 PM n_total 98706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:16 PM n_total 98834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:17 PM n_total 98962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:18 PM n_total 99090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:19 PM n_total 99218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:20 PM n_total 99346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:21 PM n_total 99474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:22 PM n_total 99602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:23 PM n_total 99730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:24 PM n_total 99858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:25 PM n_total 99986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:26 PM n_total 100114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:27 PM n_total 100242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:28 PM n_total 100370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:29 PM n_total 100498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:30 PM n_total 100626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:31 PM n_total 100754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:32 PM n_total 100882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:33 PM n_total 101010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:34 PM n_total 101138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:35 PM n_total 101266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:36 PM n_total 101394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:37 PM n_total 101522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:38 PM n_total 101650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:39 PM n_total 101778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:40 PM n_total 101906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:41 PM n_total 102034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:42 PM n_total 102162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:43 PM n_total 102290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:44 PM n_total 102418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:45 PM n_total 102546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:46 PM n_total 102674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:47 PM n_total 102802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:48 PM n_total 102930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:49 PM n_total 103058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:50 PM n_total 103186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:51 PM n_total 103314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:52 PM n_total 103442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:53 PM n_total 103570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:54 PM n_total 103698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:55 PM n_total 103826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:56 PM n_total 103954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:57 PM n_total 104082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:58 PM n_total 104210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:19:59 PM n_total 104338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:00 PM n_total 104466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:01 PM n_total 104594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:02 PM n_total 104722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:03 PM n_total 104850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:04 PM n_total 104978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:05 PM n_total 105106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:06 PM n_total 105234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:07 PM n_total 105362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:08 PM n_total 105490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:09 PM n_total 105618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:10 PM n_total 105746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:11 PM n_total 105874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:12 PM n_total 106002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:13 PM n_total 106130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:14 PM n_total 106258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:15 PM n_total 106386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:16 PM n_total 106514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:17 PM n_total 106642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:18 PM n_total 106770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:19 PM n_total 106898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:20 PM n_total 107026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:21 PM n_total 107154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:22 PM n_total 107282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:23 PM n_total 107410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:24 PM n_total 107538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:25 PM n_total 107666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:26 PM n_total 107794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:27 PM n_total 107922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:28 PM n_total 108050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:29 PM n_total 108178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:30 PM n_total 108306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:31 PM n_total 108434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:32 PM n_total 108562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:33 PM n_total 108690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:34 PM n_total 108818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:35 PM n_total 108946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:36 PM n_total 109074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:37 PM n_total 109202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:38 PM n_total 109330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:39 PM n_total 109458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:40 PM n_total 109586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:41 PM n_total 109714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:42 PM n_total 109842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:43 PM n_total 109970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:44 PM n_total 110098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:45 PM n_total 110226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:46 PM n_total 110354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:47 PM n_total 110482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:48 PM n_total 110610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:49 PM n_total 110738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:50 PM n_total 110866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:51 PM n_total 110994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:52 PM n_total 111122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:53 PM n_total 111250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:54 PM n_total 111378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:55 PM n_total 111506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:56 PM n_total 111634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:57 PM n_total 111762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:58 PM n_total 111890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:20:59 PM n_total 112018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:00 PM n_total 112146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:01 PM n_total 112274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:02 PM n_total 112402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:03 PM n_total 112530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:04 PM n_total 112658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:05 PM n_total 112786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:06 PM n_total 112914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:07 PM n_total 113042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:08 PM n_total 113170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:09 PM n_total 113298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:10 PM n_total 113426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:11 PM n_total 113554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:12 PM n_total 113682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:13 PM n_total 113810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:14 PM n_total 113938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:15 PM n_total 114066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:16 PM n_total 114194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:17 PM n_total 114322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:18 PM n_total 114450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:19 PM n_total 114578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:20 PM n_total 114706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:21 PM n_total 114834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:22 PM n_total 114962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:23 PM n_total 115090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:24 PM n_total 115218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:25 PM n_total 115346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:26 PM n_total 115474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:27 PM n_total 115602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:28 PM n_total 115730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:29 PM n_total 115858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:30 PM n_total 115986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:31 PM n_total 116114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:32 PM n_total 116242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:33 PM n_total 116370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:34 PM n_total 116498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:35 PM n_total 116626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:36 PM n_total 116754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:37 PM n_total 116882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:38 PM n_total 117010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:39 PM n_total 117138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:40 PM n_total 117266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:41 PM n_total 117394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:42 PM n_total 117522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:43 PM n_total 117650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:44 PM n_total 117778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:45 PM n_total 117906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:46 PM n_total 118034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:47 PM n_total 118162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:48 PM n_total 118290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:49 PM n_total 118418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:50 PM n_total 118546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:51 PM n_total 118674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:52 PM n_total 118802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:53 PM n_total 118930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:54 PM n_total 119058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:55 PM n_total 119186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:56 PM n_total 119314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:57 PM n_total 119442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:58 PM n_total 119570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:21:59 PM n_total 119698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:00 PM n_total 119826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:01 PM n_total 119954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:02 PM n_total 120082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:03 PM n_total 120210 n_fib 128, n_fob 0, n_fsc 0
